	ENG_e	FR_e	eng_stem	fr_stem	ratio_similarity
3321	librate	libérer	librat	liber	73
3322	lice	les poux	lice	les poux	33
3323	licence	Licence	licenc	licenc	100
3324	license	Licence	licens	licenc	83
3325	licensee	licencié	license	licenci	71
3326	licentiate	licencié	licenti	licenci	86
3327	lichee	lichee	liche	liche	100
3328	licorice	réglisse	licoric	regl	18
3329	lie	mensonge	lie	mensong	20
3330	life	la vie	life	la v	25
3331	lifelike	réaliste	lifelik	réalist	29
3332	lifeline	corde de sécurité	lifelin	corde de sécur	10
3333	lifesize	grandeur nature	lifes	grandeur natur	11
3334	lifestyle	mode de vie	lifestyl	mode de v	12
3335	lifetime	durée de vie	lifetim	durée de v	12
3336	ligature	ligature	ligatur	ligatur	100
3337	lighthouse	phare	lighthous	phar	15
3338	lignite	lignite	lignit	lignit	100
3339	likable	sympathique	likabl	sympath	15
3340	like	aimer	like	aim	29
3341	likeable	sympathique	likeabl	sympath	14
3342	likewise	de même	likewis	de mêm	15
3343	lilongwe	Lilongwe	lilongw	lilongw	100
3344	lilywhite	Lily White	lilywhit	lily whit	94
3345	lime	chaux	lime	chaux	0
3346	limestone	calcaire	limeston	calcair	27
3347	limousine	limousine	limousin	limousin	100
3348	linage	linage	linag	linag	100
3349	line	ligne	line	lign	75
3350	lineage	lignée	lineag	lign	60
3351	lingerie	lingerie	lingeri	linger	92
3352	linkable	reliable	linkabl	reliabl	71
3353	linkage	lien	linkag	lien	60
3354	lionise	lioniser	lionis	lionis	100
3355	lipase	lipase	lipas	lipas	100
3356	lipservice	soin des lèvres	lipservic	soin des levr	27
3357	liquidate	liquider	liquid	liquid	100
3358	liquidise	liquider	liquidis	liquid	86
3359	liquorice	réglisse	liquoric	regl	17
3360	lire	lire	lire	lir	86
3361	lissome	souple	lissom	soupl	36
3362	literate	alphabétisé	liter	alphabétis	27
3363	literature	Littérature	literatur	littératur	84
3364	lithe	souple	lith	soupl	22
3365	lithosphere	lithosphère	lithospher	lithospher	100
3366	litigate	plaider	litig	plaid	40
3367	litre	litre	litr	litr	100
3368	little	peu	littl	peu	0
3369	livable	habitable	livabl	habit	36
3370	live	habitent	live	habitent	33
3371	liveable	habitable	liveabl	habit	33
3372	livewire	livewire	livewir	livewir	100
3373	loadable	chargeable	loadabl	chargeabl	50
3374	loanable	prêtable	loanabl	prêtabl	43
3375	loathe	détester	loath	détest	18
3376	loathsome	détestable	loathsom	détest	29
3377	lobe	lobe	lobe	lob	86
3378	locale	lieu	local	lieu	22
3379	localise	localiser	localis	localis	100
3380	locatable	localisable	locat	localis	67
3381	locate	Localiser	locat	localis	67
3382	locative	locatif	loc	locat	75
3383	lockable	verrouillable	lockabl	verrouill	25
3384	lockage	éclusage	lockag	éclusag	46
3385	locomote	locomote	locomot	locomot	100
3386	locomotive	locomotive	locomot	locomot	100
3387	lode	filon	lode	filon	44
3388	lodestone	magnétite	lodeston	magnétit	12
3389	lodge	loge	lodg	log	86
3390	loire	Loire	loir	loir	100
3391	lone	seul	lone	seul	25
3392	lonesome	solitaire	lonesom	solitair	27
3393	longitude	longitude	longitud	longitud	100
3394	lookalike	se ressembler	lookalik	se ressembl	11
3395	loophole	échappatoire	loophol	échappatoir	11
3396	loose	ample	loos	ample	22
3397	lope	lope	lope	lop	86
3398	lore	traditions	lore	tradit	20
3399	losable	perdable	losabl	perdabl	46
3400	lose	perdre	lose	perdr	22
3401	louche	louche	louch	louch	100
3402	lounge	salon	loung	salon	60
3403	louse	pou	lous	pou	57
3404	louvre	persienne	louvr	persien	17
3405	lovable	aimable	lovabl	aimabl	50
3406	love	aimer	love	aim	0
3407	loveable	adorable	loveabl	ador	18
3408	lowercase	minuscule	lowercas	minuscul	12
3409	lozenge	losange	lozeng	losang	67
3410	lubricate	lubrifier	lubric	lubrifi	77
3411	lucrative	lucratif	lucr	lucrat	80
3412	lucre	lucre	lucr	lucr	100
3413	luggage	bagage	luggag	bagag	55
3414	luke	Luke	luke	luk	86
3415	luminance	luminance	lumin	lumin	100
3416	luminescence	luminescence	luminesc	luminescent	84
3417	lunate	lunaire	lunat	lunair	73
3418	lunchtime	l'heure du déjeuner	lunchtim	l'heure du déjeun	24
3419	lune	lune	lune	lun	86
3420	lunge	fente	lung	fent	25
3421	lure	leurre	lure	leurr	67
3422	lustre	lustre	lustr	lustr	100
3423	lute	luth	lute	luth	75
3424	luxuriance	luxuriance	luxuri	luxuri	100
3425	luxuriate	se prélasser	luxuri	se prélass	12
3426	lychee	litchi	lyche	litch	60
3427	lye	lessive	lye	lessiv	44
3428	lymphocyte	lymphocyte	lymphocyt	lymphocyt	100
3429	lyre	lyre	lyre	lyr	86
3430	lysine	lysine	lysin	lysin	100
3431	macabre	macabre	macabr	macabr	100
3432	macaque	macaque	macaqu	macaqu	100
3433	mace	masse	mace	mass	50
3434	machete	machette	machet	machet	100
3435	machine	machine	machin	machin	100
3436	macrophage	macrophage	macrophag	macrophag	100
3437	madame	Madame	madam	madam	100
3438	made	fabriqué	made	fabriqu	18
3439	mademoiselle	mademoiselle	mademoisel	mademoisel	100
3440	madhouse	maison de fous	madhous	maison de fous	57
3441	magazine	magazine	magazin	magazin	100
3442	magistrate	magistrat	magistr	magistrat	88
3443	magnate	magnat	magnat	magnat	100
3444	magnetise	magnétiser	magnetis	magnétis	88
3445	magnetite	magnétite	magnetit	magnétit	88
3446	magnetosphere	magnétosphère	magnetospher	magnétospher	92
3447	magnificence	magnificence	magnific	magnificent	84
3448	magnitude	ordre de grandeur	magnitud	ordre de grandeur	24
3449	magpie	pie	magpi	pi	57
3450	mailable	disponible	mailabl	disponibl	38
3451	mainbrace	accolade	mainbrac	accolad	27
3452	maine	Maine	main	main	100
3453	mainframe	unité centrale	mainfram	unité central	38
3454	mainline	ligne principale	mainlin	ligne principal	27
3455	maintainable	maintenable	maintain	mainten	80
3456	maintenance	maintenance	mainten	mainten	100
3457	maisonette	maisonnette	maisonett	maisonnet	89
3458	maize	maïs	maiz	maï	57
3459	majorette	majorette	majorett	majoret	93
3460	make	Fabriquer	make	fabriqu	18
3461	malachite	malachite	malachit	malachit	100
3462	maladaptive	inadapté	maladapt	inadapt	67
3463	malaise	malaise	malais	malais	100
3464	male	Masculin	male	masculin	50
3465	malevolence	malveillance	malevol	malveil	71
3466	malice	malice	malic	malic	100
3467	malleable	malléable	malleabl	malléabl	88
3468	malpractice	faute professionnelle	malpractic	faute professionnel	28
3469	maltese	maltais	maltes	malt	80
3470	manacle	menotte	manacl	menott	33
3471	manage	gérer	manag	ger	25
3472	manageable	maniable	manag	maniabl	67
3473	manatee	lamantin	manate	lamantin	57
3474	manciple	intendant	mancipl	intend	15
3475	mandate	mandat	mandat	mandat	100
3476	mandible	mandibule	mandibl	mandibul	93
3477	mandrake	mandragore	mandrak	mandragor	75
3478	mane	crinière	mane	crini	22
3479	manganese	manganèse	manganes	manganes	100
3480	mange	gale	mang	gal	29
3481	mangle	mutiler	mangl	mutil	40
3482	mangrove	mangrove	mangrov	mangrov	100
3483	manhandle	malmener	manhandl	malmen	43
3484	manhole	regard	manhol	regard	17
3485	manicdepressive	maniaco-dépressive	manicdepress	maniaco-dépress	81
3486	manicure	manucure	manicur	manucur	86
3487	manipulable	manipulable	manipul	manipul	100
3488	manipulate	manipuler	manipul	manipul	100
3489	manipulative	manipulateur	manipul	manipul	100
3490	manmade	artificiel	manmad	artificiel	12
3491	manoeuvrable	maniable	manoeuvr	maniabl	40
3492	manoeuvre	manœuvre	manoeuvr	manœuvr	80
3493	manse	presbytère	mans	presbyter	15
3494	mantelpiece	manteau de cheminée	mantelpiec	manteau de chemin	44
3495	mantle	manteau	mantl	manteau	67
3496	manufacture	fabrication	manufactur	fabriqu	35
3497	manure	fumier	manur	fumi	22
3498	maple	érable	mapl	érabl	44
3499	mappable	mappable	mappabl	mappabl	100
3500	marble	marbre	marbl	marbr	80
3501	mare	jument	mare	jument	40
3502	margarine	margarine	margarin	margarin	100
3503	margate	Margate	margat	margat	100
3504	marginalise	marginaliser	marginalis	marginalis	100
3505	marinade	Marinade	marinad	marinad	100
3506	marinate	mariner	marin	marin	100
3507	marine	Marin	marin	marin	100
3508	marionette	marionnette	marionett	marionnet	89
3509	maritime	maritime	maritim	maritim	100
3510	marketable	commercialisable	market	commercialis	22
3511	marketplace	marché	marketplac	march	53
3512	marmalade	confiture	marmalad	confitur	12
3513	marque	marque	marqu	marqu	100
3514	marquee	chapiteau	marque	chapiteau	27
3515	marriage	mariage	marriag	mariag	92
3516	marriageable	nubile	marriag	nubil	17
3517	martingale	martingale	martingal	martingal	100
3518	masculine	masculin	masculin	masculin	100
3519	masque	mascarade	masqu	mascarad	46
3520	masquerade	mascarade	masquerad	mascarad	71
3521	massacre	massacre	massacr	massacr	100
3522	massage	massage	massag	massag	100
3523	masseuse	masseuse	masseus	masseux	86
3524	massive	massif	massiv	massif	83
3525	masterpiece	chef-d'œuvre	masterpiec	chef-d'œuvr	19
3526	matchable	appariable	matchabl	appari	29
3527	mate	copain	mate	copain	20
3528	materialise	se concrétiser	materialis	se concrétis	27
3529	matinee	matinée	matine	matin	91
3530	matriculate	matriculer	matricul	matricul	100
3531	matte	mat	matt	mat	86
3532	mature	mature	matur	matur	100
3533	mauve	mauve	mauv	mauv	100
3534	maximise	maximiser	maximis	maximis	100
3535	maybe	peut être	mayb	peut êtr	0
3536	mayonnaise	Mayonnaise	mayonnais	mayonnais	100
3537	maypole	mât enrubanné	maypol	mât enrubann	22
3538	maze	Labyrinthe	maze	labyrinth	15
3539	mbabane	mbabane	mbaban	mbaban	100
3540	me	moi	me	moi	40
3541	meagre	maigre	meagr	maigr	80
3542	mealie	Repas	meali	rep	25
3543	mealtime	l'heure du repas	mealtim	l'heure du rep	10
3544	meanie	méchant	meani	mech	44
3545	meantime	entre temps	meantim	entre temp	47
3546	meanwhile	entre-temps	meanwhil	entre-temp	11
3547	measurable	mesurable	measur	mesur	91
3548	measure	mesure	measur	mesur	91
3549	meataxe	hache de viande	meatax	hache de viand	20
3550	meatpie	tourte à la viande	meatpi	tourte à la viand	26
3551	mechanisable	mécanisable	mechanis	mécanis	80
3552	mechanise	mécaniser	mechanis	mécanis	80
3553	meddle	se mêler	meddl	se mêl	36
3554	meddlesome	indiscret	meddlesom	indiscret	11
3555	mediate	médiat	mediat	médiat	83
3556	medicate	traiter	medic	trait	20
3557	medicine	Médicament	medicin	médic	67
3558	mediocre	médiocre	mediocr	médiocr	86
3559	meditate	méditer	medit	médit	80
3560	meditative	méditatif	medit	médit	80
3561	megabyte	mégaoctet	megabyt	mégaoctet	50
3562	megaphone	mégaphone	megaphon	mégaphon	88
3563	melange	mélange	melang	mélang	83
3564	melee	mêlée	mele	mêl	57
3565	membrane	membrane	membran	membran	100
3566	memorable	mémorable	memor	mémor	80
3567	memorise	mémoriser	memoris	mémoris	86
3568	menace	menace	menac	menac	100
3569	menagerie	ménagerie	menageri	ménager	80
3570	menarche	ménarche	menarch	ménarch	86
3571	menopause	ménopause	menopaus	ménopaus	88
3572	mentionable	mentionnable	mention	mention	100
3573	mercantile	mercantile	mercantil	mercantil	100
3574	merchandise	marchandise	merchandis	marchandis	90
3575	merchantable	marchand	merchant	marchand	75
3576	mere	simple	mere	simpl	22
3577	merge	fusionner	merg	fusion	0
3578	meringue	Meringue	meringu	meringu	100
3579	mescaline	mescaline	mescalin	mescalin	100
3580	mesosphere	mésosphère	mesospher	mésospher	89
3581	message	un message	messag	un messag	80
3582	metabolise	métaboliser	metabolis	métabolis	89
3583	metalanguage	métalangage	metalanguag	métalangag	86
3584	metamorphose	se métamorphoser	metamorphos	se métamorphos	80
3585	metastable	métastable	metast	métast	83
3586	meteorite	météorite	meteorit	météorit	75
3587	methadone	méthadone	methadon	méthadon	88
3588	methane	méthane	methan	méthan	83
3589	methionine	méthionine	methionin	méthionin	89
3590	methylene	méthylène	methylen	méthylen	88
3591	metre	mètre	metr	metr	100
3592	metronome	métronome	metronom	métronom	88
3593	mettle	courage	mettl	courag	0
3594	mezzanine	mezzanine	mezzanin	mezzanin	100
3595	mice	souris	mice	sour	0
3596	microbe	microbe	microb	microb	100
3597	microcode	microcode	microcod	microcod	100
3598	microfiche	microfiche	microfich	microfich	100
3599	microphone	microphone	microphon	microphon	100
3600	microscope	microscope	microscop	microscop	100
3601	microwave	four micro onde	microwav	four micro ond	45
3602	microwaveable	micro-ondable	microwav	micro-ond	59
3603	middle	milieu	middl	milieu	55
3604	middleage	Moyen-Âge	middleag	moyen-âg	38
3605	midge	moucheron	midg	moucheron	15
3606	midlife	quarantaine	midlif	quarantain	12
3607	midline	ligne médiane	midlin	ligne médian	33
3608	midwife	sage-femme	midwif	sage-femm	13
3609	migraine	migraine	migrain	migrain	100
3610	migrate	émigrer	migrat	émigr	73
3611	mike	Mike	mike	mik	86
3612	mile	mile	mile	mil	86
3613	mileage	kilométrage	mileag	kilométrag	50
3614	milestone	Étape importante	mileston	étape import	20
3615	militate	militer	milit	milit	100
3616	milkshake	Milk-shake	milkshak	milk-shak	94
3617	millimetre	millimètre	millimetr	millimetr	100
3618	millionaire	millionnaire	millionair	millionnair	95
3619	millipede	mille-pattes	milliped	mille-patt	56
3620	millstone	meule	millston	meul	33
3621	mime	mime	mime	mim	86
3622	mince	hacher	minc	hach	25
3623	mine	Mien	mine	mien	75
3624	minestrone	soupe de légumes avec pâtes	minestron	soupe de légumes avec p	19
3625	mingle	mêler	mingl	mêl	50
3626	miniature	miniature	miniatur	miniatur	100
3627	miniaturise	miniaturiser	miniaturis	miniaturis	100
3628	minimise	minimiser	minimis	minimis	100
3629	minke	minke	mink	mink	100
3630	minuscule	minuscule	minuscul	minuscul	100
3631	minute	minute	minut	minut	100
3632	minutiae	menus détails	minutia	menus détail	53
3633	miracle	miracle	miracl	miracl	100
3634	mirage	mirage	mirag	mirag	100
3635	mire	boue	mire	bou	0
3636	misadventure	mésaventure	misadventur	mésaventur	86
3637	misanthrope	misanthrope	misanthrop	misanthrop	100
3638	misbehave	se conduire mal	misbehav	se conduire mal	17
3639	miscalculate	mal calculer	miscalcul	mal calcul	74
3640	miscarriage	fausse-couche	miscarriag	fausse-couch	18
3641	mischance	malchance	mischanc	malchanc	75
3642	miscible	miscible	miscibl	miscibl	100
3643	miscue	méprise	miscu	mépris	55
3644	misdate	mal dater	misdat	mal dat	62
3645	miserable	misérable	miser	miser	100
3646	misfire	raté	misfir	rat	22
3647	misfortune	malheur	misfortun	malheur	25
3648	misgive	inquiet	misgiv	inquiet	31
3649	misguide	dévoyer	misguid	dévoi	17
3650	mishandle	maltraiter	mishandl	maltrait	25
3651	misjudge	mal évaluer	misjudg	mal évalu	25
3652	mismanage	mauvaise gestion	mismanag	mauvaise gest	38
3653	misname	donner un nom inexact	misnam	donner un nom inexact	30
3654	misplace	égarer	misplac	égar	18
3655	misquote	déformer les propos de	misquot	déformer les propos d	21
3656	misrule	mauvaise administration	misrul	mauvaise administr	33
3657	missile	missile	missil	missil	100
3658	missive	missive	missiv	missiv	100
3659	mistake	erreur	mistak	erreur	0
3660	mistime	mal calculer	mistim	mal calcul	12
3661	mistletoe	du gui	mistleto	du gui	14
3662	mistype	erreur de frappe	mistyp	erreur de frapp	10
3663	misuse	abuser	misus	abus	44
3664	mite	mite	mite	mit	86
3665	mitigate	atténuer	mitig	atténu	18
3666	mitre	mitre	mitr	mitr	100
3667	mixable	mélangeable	mixabl	mélange	31
3668	mixture	mélange	mixtur	mélang	17
3669	mobile	mobile	mobil	mobil	100
3670	mobilisable	mobilisable	mobilis	mobilis	100
3671	mobilise	mobiliser	mobilis	mobilis	100
3672	mode	mode	mode	mod	86
3673	moderate	modérer	moder	moder	100
3674	modernise	moderniser	modernis	modernis	100
3675	modifiable	modifiable	modifi	modifi	100
3676	modularise	modulariser	modularis	modularis	100
3677	modulate	moduler	modul	modul	100
3678	module	module	modul	modul	100
3679	moisture	humidité	moistur	humid	33
3680	moisturise	hydrater	moisturis	hydrat	13
3681	mole	Môle	mole	môl	57
3682	molecule	molécule	molecul	molécul	86
3683	mongoose	mangouste	mongoos	mangoust	67
3684	monochrome	monochrome	monochrom	monochrom	100
3685	monocle	monocle	monocl	monocl	100
3686	monoculture	monoculture	monocultur	monocultur	100
3687	monologue	monologue	monologu	monologu	100
3688	monoplane	monoplan	monoplan	monoplan	100
3689	monopole	monopole	monopol	monopol	100
3690	monopolise	monopoliser	monopolis	monopolis	100
3691	monostable	monostable	monost	monost	100
3692	monosyllable	monosyllabe	monosyl	monosyllab	82
3693	monotone	monotone	monoton	monoton	100
3694	monoxide	monoxyde	monoxid	monoxyd	86
3695	monroe	monroe	monro	monro	100
3696	montage	montage	montag	montag	100
3697	moonrise	lever de lune	moonris	lever de lun	11
3698	moonshine	alcool de contrebande	moonshin	alcool de contreband	29
3699	moose	élan	moos	élan	0
3700	mope	broyer du noir	mope	broyer du noir	22
3701	moraine	moraine	morain	morain	100
3702	morale	moral	moral	moral	100
3703	moralise	moraliser	moralis	moralis	100
3704	more	Suite	more	suit	0
3705	morgue	morgue	morgu	morgu	100
3706	morose	morose	moros	moros	100
3707	morpheme	morphème	morphem	morphem	100
3708	morphine	morphine	morphin	morphin	100
3709	morse	morse	mors	mors	100
3710	mortgage	hypothèque	mortgag	hypothequ	25
3711	mortgageable	hypothéquable	mortgag	hypothequ	25
3712	mortgagee	créancier hypothécaire	mortgage	créancier hypothécair	14
3713	mortice	mortaise	mortic	mortais	77
3714	mortise	mortaise	mortis	mortais	92
3715	mosque	mosquée	mosqu	mosqu	100
3716	motherstobe	motherstobe	motherstob	motherstob	100
3717	motile	mobile	motil	mobil	80
3718	motivate	motiver	motiv	motiv	100
3719	motive	motif	motiv	motif	80
3720	motorbike	moto	motorbik	moto	67
3721	motorcade	cortège	motorcad	corteg	29
3722	motorcycle	moto	motorcycl	moto	62
3723	mountable	montable	mountabl	montabl	93
3724	mountainside	flanc de montagne	mountainsid	flanc de montagn	44
3725	mountie	Mountie	mounti	mount	91
3726	mouse	Souris	mous	sour	50
3727	mouselike	souris	mouselik	sour	33
3728	mousse	mousse	mouss	mouss	100
3729	moustache	moustache	moustach	moustach	100
3730	mouthpiece	embouchure	mouthpiec	embouchur	44
3731	movable	mobile	movabl	mobil	73
3732	move	bouge toi	move	bouge toi	31
3733	moveable	mobile	moveabl	mobil	67
3734	movie	film	movi	film	25
3735	muddle	confusion	muddl	confus	18
3736	muffle	étouffer	muffl	étouff	55
3737	mule	mule	mule	mul	86
3738	multiphase	multiphase	multiphas	multiphas	100
3739	multiple	plusieurs	multipl	plusieur	27
3740	multiplicative	multiplicatif	multipl	multipl	100
3741	multitude	multitude	multitud	multitud	100
3742	mumble	marmonner	mumbl	marmon	36
3743	mundane	banal	mundan	banal	36
3744	munificence	munificence	munific	munificent	82
3745	muscle	muscle	muscl	muscl	100
3746	musculature	musculature	musculatur	musculatur	100
3747	muse	muse	muse	mus	86
3748	mustache	moustache	mustach	moustach	93
3749	mutable	mutable	mutabl	mutabl	100
3750	mutate	subir une mutation	mutat	subir une mut	33
3751	mute	muet	mute	muet	75
3752	mutilate	mutiler	mutil	mutil	100
3753	muzzle	museau	muzzl	museau	36
3754	myope	myope	myop	myop	100
3755	mystique	mystique	mystiqu	mystiqu	100
3756	naive	naïve	naiv	naïv	75
3757	naivete	naïveté	naivet	naïvet	83
3758	name	Nom	name	nom	57
3759	nameable	nommable	nameabl	nommabl	71
3760	nameplate	plaque signalétique	namepl	plaque signalet	29
3761	namesake	homonyme	namesak	homonym	29
3762	nanometre	nanomètre	nanometr	nanometr	100
3763	nape	nuque	nape	nuqu	25
3764	narrate	raconter	narrat	racont	50
3765	narrative	récit	narr	rec	29
3766	nationalise	nationaliser	nationalis	nationalis	100
3767	nationwide	à l'échelle nationale	nationwid	à l'échelle national	41
3768	native	originaire de	nativ	originaire d	35
3769	naturalise	naturaliser	naturalis	naturalis	100
3770	nature	la nature	natur	la natur	77
3771	nauseate	écœurer	nauseat	écœur	17
3772	nave	nef	nave	nef	57
3773	navigable	navigable	navig	navig	100
3774	navigate	naviguer	navig	navigu	91
3775	ndebele	ndebele	ndebel	ndebel	100
3776	ne	ne	ne	ne	100
3777	nearside	côté	nearsid	côt	0
3778	nebulae	nébuleuses	nebula	nébul	73
3779	necessitate	nécessiter	necessit	nécessit	88
3780	necklace	Collier	necklac	colli	33
3781	neckline	encolure	necklin	encolur	43
3782	necktie	cravate	neckti	cravat	33
3783	nee	née	nee	né	40
3784	needle	aiguille	needl	aiguill	17
3785	negate	nier	negat	ni	29
3786	negative	négatif	neg	négat	50
3787	negligee	négligé	neglige	néglig	77
3788	negligence	négligence	neglig	négligent	67
3789	negligible	négligeable	neglig	néglige	77
3790	negotiable	négociable	negoti	négoci	67
3791	negotiate	négocier	negoti	négoci	67
3792	nematode	nématode	nematod	nématod	86
3793	neonate	nouveau-né	neonat	nouveau-n	40
3794	neophyte	néophyte	neophyt	néophyt	86
3795	neoprene	néoprène	neopren	néopren	86
3796	neptune	Neptune	neptun	neptun	100
3797	nerve	nerf	nerv	nerf	75
3798	nestable	emboîtable	nestabl	emboît	31
3799	nestle	se nicher	nestl	se nich	17
3800	nettle	ortie	nettl	orti	22
3801	neurone	neurone	neuron	neuron	100
3802	neuroscience	neurosciences	neurosci	neuroscient	84
3803	neutralise	neutraliser	neutralis	neutralis	100
3804	nibble	grignoter	nibbl	grignot	17
3805	nice	joli	nice	jol	0
3806	niche	niche	nich	nich	100
3807	nickname	surnom	nicknam	surnom	31
3808	nicotine	nicotine	nicotin	nicotin	100
3809	niece	nièce	niec	niec	100
3810	niggle	niggle	niggl	niggl	100
3811	nightie	chemise de nuit	nighti	chemise de nuit	29
3812	nightingale	Rossignol	nightingal	rossignol	42
3813	nightlife	vie nocturne	nightlif	vie nocturn	21
3814	nightmare	cauchemar	nightmar	cauchemar	47
3815	nile	Nil	nile	nil	86
3816	nimble	agile	nimbl	agil	44
3817	nine	neuf	nine	neuf	50
3818	nipple	téton	nippl	téton	20
3819	nitrate	nitrate	nitrat	nitrat	100
3820	nitroglycerine	nitroglycérine	nitroglycerin	nitroglycérin	92
3821	noble	noble	nobl	nobl	100
3822	nocturne	nocturne	nocturn	nocturn	100
3823	noddle	caboche	noddl	caboch	18
3824	node	nœud	node	nœud	50
3825	nodule	nodule	nodul	nodul	100
3826	noise	bruit	nois	bruit	22
3827	noisome	répugnant	noisom	répugn	17
3828	nomenclature	nomenclature	nomenclatur	nomenclatur	100
3829	nominate	désigner	nomin	désign	18
3830	nominative	nominatif	nomin	nomin	100
3831	nominee	candidat	nomine	candidat	29
3832	nonchalance	nonchalance	nonchal	nonchal	100
3833	none	rien	none	rien	25
3834	nonexistence	inexistence	nonexist	inexistent	67
3835	noninterference	non-interférence	noninterfer	non-interférent	77
3836	nonsense	absurdité	nonsens	absurd	15
3837	nonviolence	La non-violence	nonviol	la non-violent	67
3838	noodle	nouille	noodl	nouill	55
3839	noontide	midi	noontid	mid	40
3840	noose	nœud coulant	noos	nœud coul	31
3841	noradrenaline	noradrénaline	noradrenalin	noradrénalin	92
3842	normalisable	normalisable	normalis	normalis	100
3843	normalise	normaliser	normalis	normalis	100
3844	normative	normatif	norm	normat	80
3845	nose	nez	nose	nez	57
3846	nosedive	plongeon	nosed	plongeon	31
3847	notable	notable	notabl	notabl	100
3848	note	Remarque	note	remarqu	18
3849	notice	avis	notic	avis	22
3850	noticeable	perceptible	notic	perceptibl	27
3851	notifiable	notifiable	notifi	notifi	100
3852	novelette	nouvelle	novelett	nouvel	71
3853	novelle	novelle	novel	novel	100
3854	novice	novice	novic	novic	100
3855	nowhere	nulle part	nowher	nulle part	38
3856	nozzle	buse	nozzl	bus	0
3857	nuance	nuancer	nuanc	nuanc	100
3858	nude	nu	nude	nu	67
3859	nudge	coup de coude	nudg	coup de coud	25
3860	nuisance	nuisance	nuisanc	nuisanc	100
3861	nuke	bombe atomique	nuke	bombe atom	14
3862	numberplate	Plaque d'immatriculation	numberpl	plaque d'immatricul	15
3863	numerate	numéroter	numer	numérot	67
3864	nurse	infirmière	nurs	infirmi	36
3865	nurture	nourrir	nurtur	nourr	73
3866	nutritive	nutritif	nutrit	nutrit	100
3867	nuzzle	toucher son nez	nuzzl	toucher son n	11
3868	obdurate	inflexible	obdur	inflexibl	14
3869	obedience	obéissance	obedi	obéiss	55
3870	obeisance	révérence	obeis	révérent	15
3871	obese	obèse	obes	obes	100
3872	obfuscate	brouiller	obfusc	brouill	31
3873	objectionable	répréhensible	objection	répréhensibl	10
3874	objective	objectif	object	object	100
3875	oblate	oblat	oblat	oblat	100
3876	obligate	obliger	oblig	oblig	100
3877	oblige	obliger	oblig	oblig	100
3878	oblique	oblique	obliqu	obliqu	100
3879	obliterate	effacer	obliter	effac	17
3880	oboe	hautbois	obo	hautbois	36
3881	obscene	obscène	obscen	obscen	100
3882	obscure	obscur	obscur	obscur	100
3883	observable	observable	observ	observ	100
3884	observance	observance	observ	observ	100
3885	observe	observer	observ	observ	100
3886	obsessive	obsessionnel	obsess	obsessionnel	67
3887	obsolescence	obsolescence	obsolesc	obsolescent	84
3888	obsolete	obsolète	obsolet	obsolet	100
3889	obstacle	obstacle	obstacl	obstacl	100
3890	obstinate	obstiné	obstin	obstin	100
3891	obstructive	obstructif	obstruct	obstruct	100
3892	obtainable	disponible	obtain	disponibl	27
3893	obtrude	imposer	obtrud	impos	18
3894	obtrusive	importun	obtrus	importun	43
3895	obtuse	obtus	obtus	obtus	100
3896	obverse	face	obvers	fac	0
3897	obviate	obvier	obviat	obvi	80
3898	occurrence	occurrence	occurr	occurrent	80
3899	ochre	ocre	ochr	ocre	75
3900	octane	octane	octan	octan	100
3901	octave	octave	octav	octav	100
3902	ode	ode	ode	ode	100
3903	oeuvre	œuvre	oeuvr	œuvr	67
3904	offence	infraction	offenc	infract	31
3905	offensive	offensive	offens	offens	100
3906	office	Bureau	offic	bureau	0
3907	officiate	officier	offici	offici	100
3908	offshore	offshore	offshor	offshor	100
3909	ogle	lorgner	ogl	lorgn	50
3910	ogre	ogre	ogr	ogre	86
3911	oldage	vieillesse	oldag	vieilless	14
3912	oldie	oldie	oldi	oldi	100
3913	ole	ole	ole	ole	100
3914	olive	olive	oliv	oliv	100
3915	omelette	omelette	omelett	omelet	92
3916	omnipotence	omnipotence	omnipot	omnipotent	82
3917	omnipresence	omniprésence	omnipres	omniprésent	74
3918	omniscience	omniscience	omnisci	omniscient	82
3919	omnivore	omnivore	omnivor	omnivor	100
3920	once	une fois	onc	une fois	18
3921	one	une	one	une	67
3922	onshore	à terre	onshor	à terr	17
3923	ooze	suinter	ooz	suint	0
3924	opaque	opaque	opaqu	opaqu	100
3925	operable	opérable	oper	oper	100
3926	operate	fonctionner	oper	fonction	17
3927	operative	opératoire	oper	opératoir	46
3928	opiate	opiacé	opiat	opiac	80
3929	opine	opine	opin	opin	100
3930	opportune	opportun	opportun	opportun	100
3931	oppose	s'opposer	oppos	s'oppos	83
3932	opposite	opposé	opposit	oppos	83
3933	oppressive	oppressif	oppress	oppress	100
3934	optimise	optimiser	optimis	optimis	100
3935	opulence	opulence	opul	opulent	73
3936	oracle	oracle	oracl	oracl	100
3937	orange	Orange	orang	orang	100
3938	orate	discourir	orat	discour	36
3939	orchestrate	orchestrer	orchestr	orchestr	100
3940	ordinance	ordonnance	ordin	ordon	80
3941	ordinate	ordonnée	ordin	ordon	80
3942	ordnance	munitions	ordnanc	munit	17
3943	ordure	ordure	ordur	ordur	100
3944	ore	minerai	ore	min	0
3945	organisable	organisable	organis	organis	100
3946	organise	organiser	organis	organis	100
3947	orientable	orientable	orient	orient	100
3948	orientate	orienter	orient	orient	100
3949	orifice	orifice	orific	orific	100
3950	originate	provenir	origin	proven	33
